기능,URI,메소드,분류
계약용 차량 목록 조회,/contracts/cars,GET,계약
회사 수정,/companies/{companyId},PATCH,회사
차량 수정,/cars/{carId},PATCH,차량
이미지 URL 생성,/images/upload,POST,이미지
고객 상세 정보 조회,/customers/{customerId},GET,고객
고객 수정,/customers/{customerId},PATCH,고객
통계 조회,/dashboard,GET,대시보드
차량 데이터 대용량 업로드,/cars/upload,POST,차량
토큰 갱신,/auth/refresh,POST,인증
회사 목록 조회,/companies,GET,회사
계약서 추가 시 계약 목록 조회,/contractDocuments/draft,GET,계약서
내 정보 수정,/users/me,PATCH,유저
계약 삭제,/contracts/{contractId},DELETE,계약
계약용 고객 목록 조회,/contracts/customers,GET,계약
차량 등록,/cars,POST,차량
회사 등록,/companies,POST,회사
회사별 유저 조회,/companies/users,GET,회사
차량 삭제,/cars/{carId},DELETE,차량
계약 수정,/contracts/{contractId},PATCH,계약
고객 등록,/customers,POST,고객
계약 등록,/contracts,POST,계약
회원 탈퇴,/users/me,DELETE,유저
차량 상세 정보 조회,/cars/{carId},GET,차량
내 정보 조회,/users/me,GET,유저
고객 목록 조회,/customers,GET,고객
계약서 업로드,/contractDocuments/upload,POST,계약서
고객 삭제,/customers/{customerId},DELETE,고객
계약서 업로드 시 계약 목록 조회,/contractDocuments,GET,계약서
고객 데이터 대용량 업로드,/customers/upload,POST,고객
,,,
회원가입,/users,POST,유저
계약용 유저 목록 조회,/contracts/users,GET,계약
계약서 다운로드,/contractDocuments/{contractDocumentId}/download,GET,계약서
계약 목록 조회,/contracts,GET,계약
차량 목록 조회,/cars,GET,차량
회사 삭제,/companies/{companyId},DELETE,회사
유저 삭제,/users/{userId},DELETE,유저
로그인,/auth/login,POST,인증
차량 모델 목록 조회,/cars/models,GET,차량